250,88,64
245,86,64
240,84,59
235,82,59
230,82,55
225,80,54
220,80,53
215,79,50
210,77,50
205,76,48
200,76,48
195,72,45
190,72,45
185,70,45
180,86,49
175,88,69
170,88,68
165,86,77
160,68,47
155,64,66
150,66,51
145,48,8
140,44,0
135,72,4
130,65,40
125,55,44
120,62,50
115,64,51
110,61,48
105,56,47
100,51,39
95,43,28
90,11,0
85,0,0
80,0,0
75,0,4
70,0,33
65,10,12
60,17,13
65,13,11
70,9,9
75,15,13
80,18,15
85,22,20
90,26,24
95,31,29
100,35,32
105,39,37
110,43,41
115,48,44
120,36,48
125,22,28
130,36,44
135,38,1
140,32,0
145,2,0
150,37,18
155,75,69
160,54,51
165,68,67
170,74,74
175,77,76
180,78,77
185,71,77
190,78,48
195,84,43
200,86,45
205,88,47
210,88,49
215,90,50
220,90,50
225,90,53
230,92,55
235,92,54
240,92,57
245,94,59
250,94,61
